n,p,q,sigma,gamma.0,beta.str,M,gamma.step,Minus 1,Minus 2,Minus 3,Minus 4,Minus 5,Minus 6,Minus 7,Minus 8,Minus 9,Minus 10,Minus 11,Minus 12
100,10,3,0.1,2,norm = 20,100,0.02,0.8,0.91,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.1,2,norm = 20,100,0.02,0.67,0.78,0.87,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.01,2,norm = 20,100,0.02,0.98,1,1,1,1,1,1,1,1,1,1,1
100,50,7,0.01,2,norm = 20,100,0.02,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.1,3,norm = 20,100,0.02,0.8,0.91,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.1,3,norm = 20,100,0.02,0.67,0.78,0.86,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.01,3,norm = 20,100,0.02,0.9,0.95,0.98,0.99,1,1,1,1,1,1,1,1
100,50,7,0.01,3,norm = 20,100,0.02,0.8,0.86,0.93,0.93,0.95,0.98,0.99,0.99,0.99,0.99,0.99,0.99
100,10,3,0.1,4,norm = 20,100,0.02,0.8,0.91,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.1,4,norm = 20,100,0.02,0.67,0.78,0.86,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.01,4,norm = 20,100,0.02,0.86,0.92,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.01,4,norm = 20,100,0.02,0.76,0.79,0.88,0.93,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.1,2,val = 20,100,0.02,0.8,0.91,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.1,2,val = 20,100,0.02,0.67,0.78,0.87,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.01,2,val = 20,100,0.02,1,1,1,1,1,1,1,1,1,1,1,1
100,50,7,0.01,2,val = 20,100,0.02,1,1,1,1,1,1,1,1,1,1,1,1
100,10,3,0.1,3,val = 20,100,0.02,0.8,0.91,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.1,3,val = 20,100,0.02,0.67,0.78,0.87,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.01,3,val = 20,100,0.02,1,1,1,1,1,1,1,1,1,1,1,1
100,50,7,0.01,3,val = 20,100,0.02,0.99,0.99,1,1,1,1,1,1,1,1,1,1
100,10,3,0.1,4,val = 20,100,0.02,0.8,0.91,0.96,0.98,1,1,1,1,1,1,1,1
100,50,7,0.1,4,val = 20,100,0.02,0.67,0.78,0.86,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99
100,10,3,0.01,4,val = 20,100,0.02,0.95,0.98,1,1,1,1,1,1,1,1,1,1
100,50,7,0.01,4,val = 20,100,0.02,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,1,1,1,1
