n,p,q,sigma,gamma.0,delta,M,gamma.step,Minus 2,,,,,,,
100,10,3,1,0,1,200,0.01,0.915(0.215),,0.915,0.021679483,0.947,,,
100,10,3,1,0,1,200,0.01,0.955(0.213),,0.955,,,,,
100,10,3,1,0,1,200,0.01,0.965(0.213),,0.965,,,,,
100,10,3,1,0,1,200,0.01,0.965(0.212),,0.965,,,,,
100,10,3,1,0,1,200,0.01,0.935(0.212),,0.935,,,,,
100,10,3,1,0,3,200,0.01,0.94(0.0548),,0.94,0.015652476,0.947,,,
100,10,3,1,0,3,200,0.01,0.93(0.0559),,0.93,,,,,
100,10,3,1,0,3,200,0.01,0.955(0.0546),,0.955,,,,,
100,10,3,1,0,3,200,0.01,0.94(0.0558),,0.94,,,,,
100,10,3,1,0,3,200,0.01,0.97(0.0542),,0.97,,,,,
100,50,7,1,0,1,200,0.01,0.935(0.209),,0.935,0.026832816,0.892,,,
100,50,7,1,0,1,200,0.01,0.875(0.211),,0.875,,,,,
100,50,7,1,0,1,200,0.01,0.89(0.209),,0.89,,,,,
100,50,7,1,0,1,200,0.01,0.895(0.209),,0.895,,,,,
100,50,7,1,0,1,200,0.01,0.865(0.214),,0.865,,,,,
100,50,7,1,0,3,200,0.01,0.845(0.0558),,0.845,0.018165902,0.856,,,
100,50,7,1,0,3,200,0.01,0.865(0.0547),,0.865,,,,,2.236067977
100,50,7,1,0,3,200,0.01,0.875(0.0544),,0.875,,,,,
100,50,7,1,0,3,200,0.01,0.83(0.0542),,0.83,,,,,
100,50,7,1,0,3,200,0.01,0.865(0.056),,0.865,,,,,
